
30,M
27,M
27,F
26,M
28,M
28,M
38,M
35,M
22,F
28,M
28,M
30,M
28,M
27,M
25,M
27,M
27,M
27,M
26,M
25,M
29,M
24,M
26,M
28,F
24,F
26,F
24,F
27,F
26,F
22,F
23,F
26,F
23,F
26,F
25,F
24,F
24,F
24,F
23,F
23,F
23,F
22,F
23,F
22,F
22,F
23,F
22,F
23,F
21,F
29,M
23,M
22,M
22,M
22,M
22,M
23,M
21,M
23,M
24,M
22,M
19,M
29,M
20,M
20,M
21,M
28,F
24,F
26,F
24,F
27,F
26,F
22,F
23,F
23,M
23,M
24,M
23,M
23,M
24,M
24,M
24,M
24,M
26,M
25,M
26,M
26,M
25,M
27,M
27,M
26,M
26,M
25,M
27,M
25,M
28,M
26,M
24,M
25,M
24,M
26,M
25,M
26,M
27,M
26,M
27,M
26,M
26,M
28,M
25,M
24,M
27,M
25,M
28,M
26,M
27,M
26,M
25,M
23,M
26,M
25,M
23,F
29,F
31,F
23,F
18,F
18,F
18,F
19,F
18,F
18,F
19,F
17,F
18,F
18,F
20,F
18,F
20,F
18,F
19,F
20,F
19,F
18,F
20,F
19,F
19,F
21,F
18,F
19,F
18,F
19,F
18,F
18,F
18,F
18,F
19,F
17,F
19,F
19,F
19,F
18,F
18,F
18,F
18,F
18,F
19,F
20,F
19,F
18,F
19,F
19,F
18,F
19,F
19,F
21,F
21,F
20,F
20,F
21,F
20,F
22,F
22,F
21,F
19,F
18,F
20,F
21,F
21,F
20,F
20,F
20,F
20,F
19,F
19,F
19,F
19,F
19,F
19,F
19,F
18,F
19,F
18,F
18,F
18,F
18,F
19,F
20,F
17,F
17,F
18,F
18,F
19,F
18,F
19,F
19,F
19,F
20,F
19,F
19,F
19,F
19,F
19,F
19,F
18,F
18,F
17,F
17,F
18,F
17,F
17,F
20,F
19,F
22,F
20,F
20,F
22,F
21,F
22,M
22,M
25,M
24,M
24,M
25,M
23,M
27,M
26,M
26,M
26,M
25,M
26,M
25,M
27,M
27,M
27,M
26,M
25,M
26,M
25,M
25,M
25,M
25,M
23,M
28,M
27,M
28,M
26,M
26,M
27,M
30,M
28,M
24,M
23,M
22,M
22,M
24,M
25,M
28,F
24,F
26,F
24,F
27,F
26,F
22,F
23,F
24,M
22,M
23,M
21,M
22,M
21,M
22,M
23,M
22,M
22,M
21,M
24,M
23,M
22,M
22,M
23,M
21,M
25,M
21,M
21,M
20,M
21,M
21,M
21,M
22,M
20,M
21,M
20,M
22,M
21,M
21,M
22,M
21,M
22,M
21,M
22,M
20,M
21,M
26,M
30,M
26,M
26,M
29,M
27,M
26,M
27,M
24,M
27,M
26,M
24,M
25,M
27,M
25,M
30,M
24,M
23,M
23,M
24,M
27,M
24,M
25,M
25,M
22,M
23,M
24,M
23,M
23,M
23,M
22,M
23,M
24,M
22,M
21,M
22,M
21,M
20,M
18,M
21,M
23,M
20,M
21,M
20,M
18,M
21,M
20,M
18,M
18,M
24,M
28,M
23,M
19,M
21,M
17,M
18,M
17,M
17,M
16,M
17,M
17,M
19,M
19,M
18,M
17,M
16,M
20,M
20,M
19,M
19,M
20,M
